Domain,Instance,DR,DR+TR+NC+LM,NC+LM,NC,LM
airport,p01-airport1-p1.pddl,3,8,8,1,8
airport,p02-airport1-p1.pddl,9,9,9,9,9
airport,p03-airport1-p2.pddl,13,17,,,
airport,p04-airport2-p1.pddl,3,20,20,1,20
airport,p05-airport2-p1.pddl,19,21,21,21,21
airport,p06-airport2-p2.pddl,23,41,41,22,41
airport,p07-airport2-p2.pddl,23,41,41,22,41
airport,p08-airport2-p3.pddl,41,62,62,43,62
airport,p09-airport2-p4.pddl,43,71,71,44,71
airport,p10-airport3-p1.pddl,3,18,18,1,18
airport,p11-airport3-p1.pddl,19,21,21,21,21
airport,p12-airport3-p2.pddl,23,39,39,22,39
airport,p13-airport3-p2.pddl,23,37,37,20,37
airport,p14-airport3-p3.pddl,41,60,60,43,60
airport,p15-airport3-p3.pddl,41,58,58,41,58
airport,p16-airport3-p4.pddl,59,79,79,62,79
airport,p17-airport3-p5.pddl,61,88,88,63,88
airport,p18-airport3-p6.pddl,79,107,107,82,107
airport,p19-airport3-p6.pddl,63,90,90,62,90
airport,p20-airport3-p7.pddl,82,115,115,83,115
airport,p21-airport4halfMUC-p2.pddl,26,101,101,54,101
airport,p22-airport4halfMUC-p3.pddl,29,148,148,55,148
airport,p23-airport4halfMUC-p4.pddl,31,168,168,42,168
airport,p24-airport4halfMUC-p4.pddl,72,162,162,114,162
airport,p25-airport4halfMUC-p5.pddl,76,212,212,119,212
airport,p26-airport4halfMUC-p6.pddl,78,220,220,94,220
airport,p27-airport4halfMUC-p6.pddl,118,246,246,198,246
airport,p28-airport4halfMUC-p7.pddl,122,294,294,201,294
airport,p29-airport4halfMUC-p8.pddl,124,308,308,182,308
airport,p30-airport4halfMUC-p8.pddl,164,310,310,262,310
airport,p31-airport4halfMUC-p9.pddl,168,358,358,265,358
airport,p32-airport4halfMUC-p10.pddl,170,390,390,264,390
airport,p33-airport4halfMUC-p10.pddl,191,393,393,300,393
airport,p34-airport4halfMUC-p11.pddl,193,427,427,301,427
airport,p35-airport4halfMUC-p12.pddl,196,433,433,302,433
airport,p36-airport5MUC-p2.pddl,,,109,61,109
airport,p37-airport5MUC-p3.pddl,,,141,141,141
airport,p38-airport5MUC-p3.pddl,,,154,107,154
airport,p39-airport5MUC-p4.pddl,,,208,208,208
airport,p40-airport5MUC-p4.pddl,,,190,142,190
airport,p41-airport5MUC-p4.pddl,,,178,108,178
airport,p42-airport5MUC-p5.pddl,,,257,209,257
airport,p43-airport5MUC-p5.pddl,,,223,153,223
airport,p44-airport5MUC-p5.pddl,,,227,106,227
airport,p45-airport5MUC-p6.pddl,,,249,107,249
airport,p46-airport5MUC-p6.pddl,,,290,220,290
airport,p47-airport5MUC-p8.pddl,,,355,213,355
airport,p48-airport5MUC-p9.pddl,,,423,351,423
airport,p49-airport5MUC-p10.pddl,,,451,307,451
airport,p50-airport5MUC-p15.pddl,,,685,540,685
barman-opt11-strips,pfile01-001.pddl,5,41,40,36,28
barman-opt11-strips,pfile01-002.pddl,5,41,41,36,37
barman-opt11-strips,pfile01-003.pddl,5,72,72,36,39
barman-opt11-strips,pfile01-004.pddl,5,41,41,36,37
barman-opt11-strips,pfile02-005.pddl,6,53,53,48,38
barman-opt11-strips,pfile02-006.pddl,6,51,50,48,18
barman-opt11-strips,pfile02-007.pddl,6,98,98,48,41
barman-opt11-strips,pfile02-008.pddl,6,53,53,48,38
barman-opt11-strips,pfile03-009.pddl,8,66,65,60,39
barman-opt11-strips,pfile03-010.pddl,8,65,64,60,30
barman-opt11-strips,pfile03-011.pddl,8,66,65,60,39
barman-opt11-strips,pfile03-012.pddl,8,65,64,60,30
barman-opt11-strips,pfile04-013.pddl,10,87,85,82,31
barman-opt11-strips,pfile04-014.pddl,10,90,88,84,32
barman-opt11-strips,pfile04-015.pddl,10,150,150,82,36
barman-opt11-strips,pfile04-016.pddl,10,87,85,82,31
barman-opt11-strips,pfile05-017.pddl,11,103,100,96,33
barman-opt11-strips,pfile05-018.pddl,11,103,100,96,33
barman-opt11-strips,pfile05-019.pddl,11,103,100,96,33
barman-opt11-strips,pfile05-020.pddl,11,103,100,96,33
blocks,probBLOCKS-10-0.pddl,18,18,18,18,18
blocks,probBLOCKS-10-1.pddl,18,20,20,20,19
blocks,probBLOCKS-10-2.pddl,18,20,20,20,19
blocks,probBLOCKS-11-0.pddl,16,22,22,18,19
blocks,probBLOCKS-11-1.pddl,20,22,22,22,20
blocks,probBLOCKS-11-2.pddl,16,22,22,18,19
blocks,probBLOCKS-12-0.pddl,20,24,24,22,22
blocks,probBLOCKS-12-1.pddl,22,22,22,22,22
blocks,probBLOCKS-13-0.pddl,24,24,24,24,24
blocks,probBLOCKS-13-1.pddl,24,26,26,26,25
blocks,probBLOCKS-14-0.pddl,22,28,28,24,25
blocks,probBLOCKS-14-1.pddl,26,28,28,28,27
blocks,probBLOCKS-15-0.pddl,26,30,30,26,28
blocks,probBLOCKS-15-1.pddl,26,30,30,26,28
blocks,probBLOCKS-16-1.pddl,30,32,32,32,31
blocks,probBLOCKS-16-2.pddl,26,30,30,26,28
blocks,probBLOCKS-17-0.pddl,32,34,34,34,33
blocks,probBLOCKS-4-0.pddl,6,6,6,6,6
blocks,probBLOCKS-4-1.pddl,5,8,8,6,6
blocks,probBLOCKS-4-2.pddl,6,6,6,6,6
blocks,probBLOCKS-5-0.pddl,7,10,10,8,8
blocks,probBLOCKS-5-1.pddl,6,8,8,6,7
blocks,probBLOCKS-5-2.pddl,8,10,10,10,9
blocks,probBLOCKS-6-0.pddl,10,12,12,12,11
blocks,probBLOCKS-6-1.pddl,10,10,10,10,10
